Station_ID,Date_Time,wind_speed_set_1,wind_direction_set_1
KSNT,04/24/2020 14:51 UTC,0,0
KSNT,04/24/2020 15:51 UTC,4.61,120
KSNT,04/24/2020 16:51 UTC,5.75,340
KSNT,04/24/2020 17:51 UTC,4.61,340
KSNT,04/24/2020 18:51 UTC,4.61,360
KSNT,04/24/2020 19:51 UTC,6.91,350
KSNT,04/24/2020 20:51 UTC,6.91,10
KSNT,04/24/2020 21:51 UTC,6.91,350
KSNT,04/24/2020 22:51 UTC,6.91,330
KSNT,04/24/2020 23:51 UTC,8.05,350
KSNT,04/25/2020 00:51 UTC,6.91,340
KSNT,04/25/2020 01:51 UTC,0,0
KSNT,04/25/2020 02:51 UTC,3.44,180
KSNT,04/25/2020 03:51 UTC,0,0
KSNT,04/25/2020 04:51 UTC,0,0
KSNT,04/25/2020 05:51 UTC,0,0
KSNT,04/25/2020 06:51 UTC,5.75,190
KSNT,04/25/2020 07:51 UTC,3.44,170
KSNT,04/25/2020 08:51 UTC,3.44,150
KSNT,04/25/2020 09:51 UTC,3.44,170
KSNT,04/25/2020 10:51 UTC,6.91,170
KSNT,04/25/2020 11:51 UTC,5.75,130
KSNT,04/25/2020 12:51 UTC,0,0
KSNT,04/25/2020 13:51 UTC,3.44,30
KSNT,04/25/2020 14:51 UTC,0,0
KSNT,04/25/2020 15:51 UTC,4.61,350
KSNT,04/25/2020 16:51 UTC,0,0
KSNT,04/25/2020 17:51 UTC,6.91,340
KSNT,04/25/2020 18:51 UTC,4.61,10
KSNT,04/25/2020 19:51 UTC,3.44,310
KSNT,04/25/2020 20:51 UTC,6.91,240
KSNT,04/25/2020 21:51 UTC,10.36,220
KSNT,04/25/2020 22:51 UTC,6.91,
KSNT,04/25/2020 23:51 UTC,4.61,
KSNT,04/26/2020 00:51 UTC,5.75,210
KSNT,04/26/2020 01:51 UTC,4.61,
KSNT,04/26/2020 02:51 UTC,6.91,160
KSNT,04/26/2020 03:51 UTC,6.91,
KSNT,04/26/2020 04:51 UTC,0,0
KSNT,04/26/2020 05:51 UTC,0,0
KSNT,04/26/2020 06:51 UTC,5.75,170
KSNT,04/26/2020 07:51 UTC,5.75,160
KSNT,04/26/2020 08:51 UTC,4.61,150
KSNT,04/26/2020 09:51 UTC,4.61,350
KSNT,04/26/2020 10:51 UTC,3.44,220
KSNT,04/26/2020 11:51 UTC,0,0
KSNT,04/26/2020 12:51 UTC,0,0
KSNT,04/26/2020 13:51 UTC,0,0
KSNT,04/26/2020 14:51 UTC,5.75,360
KSNT,04/26/2020 15:51 UTC,3.44,360
KSNT,04/26/2020 16:51 UTC,4.61,40
KSNT,04/26/2020 17:51 UTC,5.75,
KSNT,04/26/2020 18:51 UTC,4.61,
KSNT,04/26/2020 19:51 UTC,0,0
KSNT,04/26/2020 20:51 UTC,5.75,
KSNT,04/26/2020 21:51 UTC,6.91,290
KSNT,04/26/2020 22:51 UTC,8.05,240
KSNT,04/26/2020 23:51 UTC,4.61,
KSNT,04/27/2020 00:51 UTC,0,0
KSNT,04/27/2020 01:51 UTC,0,0
KSNT,04/27/2020 02:51 UTC,5.75,190
KSNT,04/27/2020 03:51 UTC,4.61,170
KSNT,04/27/2020 04:51 UTC,0,0
KSNT,04/27/2020 05:51 UTC,4.61,160
KSNT,04/27/2020 06:51 UTC,4.61,180
KSNT,04/27/2020 07:51 UTC,0,0
KSNT,04/27/2020 08:51 UTC,0,0
KSNT,04/27/2020 09:51 UTC,0,0
KSNT,04/27/2020 10:51 UTC,3.44,
KSNT,04/27/2020 11:51 UTC,0,0
KSNT,04/27/2020 12:51 UTC,0,0
KSNT,04/27/2020 13:51 UTC,4.61,
KSNT,04/27/2020 14:51 UTC,0,0
KSNT,04/27/2020 15:51 UTC,0,0
KSNT,04/27/2020 16:51 UTC,0,0
KSNT,04/27/2020 17:51 UTC,0,0
KSNT,04/27/2020 18:51 UTC,3.44,
KSNT,04/27/2020 19:51 UTC,5.75,
KSNT,04/27/2020 20:51 UTC,11.5,340
KSNT,04/27/2020 21:51 UTC,11.5,350
KSNT,04/27/2020 22:51 UTC,8.05,280
KSNT,04/27/2020 23:51 UTC,9.22,330
KSNT,04/28/2020 00:51 UTC,6.91,320
KSNT,04/28/2020 01:51 UTC,0,0
KSNT,04/28/2020 02:51 UTC,10.36,250
KSNT,04/28/2020 03:51 UTC,4.61,210
KSNT,04/28/2020 04:51 UTC,3.44,160
KSNT,04/28/2020 05:51 UTC,3.44,170
KSNT,04/28/2020 06:51 UTC,5.75,160
KSNT,04/28/2020 07:51 UTC,0,0
